x1,x2
0.0,-0.9080804909658582
78.45500004291534,77.49454123188025
156.91000002622604,155.8971629547268
211.75,210.7789981607193
290.20500004291534,291.4216947899331
423.5,424.70615171877216
1365.9735000133514,1366.9055632744853
1397.6707500219345,1397.6379743416792
1429.3680000305176,1428.3703854088726
1457.9867500066757,1455.5567490452363
1489.6840000152588,1487.4711759227066
1550.0,1550.1180138673712
4386.989499986172,4389.546678115571
4418.686749994755,4420.953755741141
4433.370750010014,4433.243481768538
4465.068000018597,4466.016084508265
6762.3900000452995,6749.192867005856
6798.495000004768,6799.949059666405
6876.950000047684,6875.397454161818
6913.055000066757,6912.435756914113
6991.510000050068,6991.999518382003
